Address,Key,Label1,Label2,Label3,CommandAddress,HandoverAddress
D10.0,X00,Ngõ vào  X00,,,,
D10.1,X01,Ngõ vào  X01,,,,
D10.2,X02,Ngõ vào  X02,,,,
D10.3,X03,Ngõ vào  X03,,,,
D10.4,X04,Ngõ vào  X04,,,,
D10.5,X05,Ngõ vào  X05,,,,
D10.6,X06,Ngõ vào  X06,,,,
D10.7,X07,Ngõ vào  X07,,,,
D10.8,X10,Ngõ vào  X10,,,,
D10.9,X11,Ngõ vào  X11,,,,
D10.A,X12,Ngõ vào  X12,,,,
D10.B,X13,Ngõ vào  X13,,,,
D10.C,X14,Ngõ vào  X14,,,,
D10.D,X15,Ngõ vào  X15,,,,
D10.E,X16,Ngõ vào  X16,,,,
D10.F,X17,Ngõ vào  X17,,,,
D11.0,X20,Ngõ vào  X20,,,,
D11.1,X21,Ngõ vào  X21,,,,
D11.2,X22,Ngõ vào  X22,,,,
D11.3,X23,Ngõ vào  X23,,,,
D11.4,X24,Ngõ vào  X24,,,,
D11.5,X25,Ngõ vào  X25,,,,
D11.6,X26,Ngõ vào  X26,,,,
D11.7,X27,Ngõ vào  X27,,,,
D11.8,X30,Ngõ vào  X30,,,,
D11.9,X31,Ngõ vào  X31,,,,
D11.A,X32,Ngõ vào  X32,,,,
D11.B,X33,Ngõ vào  X33,,,,
D11.C,X34,Ngõ vào  X34,,,,
D11.D,X35,Ngõ vào  X35,,,,
D11.E,X36,Ngõ vào  X36,,,,
D11.F,X37,Ngõ vào  X37,,,,
D15.0,Y00,Ngõ ra Y00,,,D120.0,D20.0
D15.1,Y01,Ngõ ra Y01,,,D120.1,D20.1
D15.2,Y02,Ngõ ra Y02,,,D120.2,D20.2
D15.3,Y03,Ngõ ra Y03,,,D120.3,D20.3
D15.4,Y04,Ngõ ra Y04,,,D120.4,D20.4
D15.5,Y05,Ngõ ra Y05,,,D120.5,D20.5
D15.6,Y06,Ngõ ra Y06,,,D120.6,D20.6
D15.7,Y07,Ngõ ra Y07,,,D120.7,D20.7
D15.8,Y10,Ngõ ra Y10,,,D120.8,D20.8
D15.9,Y11,Ngõ ra Y11,,,D120.9,D20.9
D15.A,Y12,Ngõ ra Y12,,,D120.A,D20.A
D15.B,Y13,Ngõ ra Y13,,,D120.B,D20.B
D15.C,Y14,Ngõ ra Y14,,,D120.C,D20.C
D15.D,Y15,Ngõ ra Y15,,,D120.D,D20.D
D15.E,Y16,Ngõ ra Y16,,,D120.E,D20.E
D15.F,Y17,Ngõ ra Y17,,,D120.F,D20.F
D16.0,Y20,Ngõ ra Y20,,,D121.0,D21.0
D16.1,Y21,Ngõ ra Y21,,,D121.1,D21.1
D16.2,Y22,Ngõ ra Y22,,,D121.2,D21.2
D16.3,Y23,Ngõ ra Y23,,,D121.3,D21.3
D16.4,Y24,Ngõ ra Y24,,,D121.4,D21.4
D16.5,Y25,Ngõ ra Y25,,,D121.5,D21.5
D16.6,Y26,Ngõ ra Y26,,,D121.6,D21.6
D16.7,Y27,Ngõ ra Y27,,,D121.7,D21.7
D16.8,Y30,Ngõ ra Y30,,,D121.8,D21.8
D16.9,Y31,Ngõ ra Y31,,,D121.9,D21.9
D16.A,Y32,Ngõ ra Y32,,,D121.A,D21.A
D16.B,Y33,Ngõ ra Y33,,,D121.B,D21.B
D16.C,Y34,Ngõ ra Y34,,,D121.C,D21.C
D16.D,Y35,Ngõ ra Y35,,,D121.D,D21.D
D16.E,Y36,Ngõ ra Y36,,,D121.E,D21.E
D16.F,Y37,Ngõ ra Y37,,,D121.F,D21.F
