Key,Heading,Type,Address,Scale,Label1,Label2,,,
High.voltage,High Voltage,,D50,1,,,,,
High.current,High Current,,D52,1,,,,,
High.vacuum,High Vacuum,,D54,1,,,,,
Low.voltage,Low Voltage,,D60,1,,,,,
Low.current,Low Current,,D62,1,,,,,
Low.vacuum,Low Vacuum,,D64,1,,,,,
High.voltage.OkNg,High Voltage OK/NG,OKNG,D51,,,,,,
High.current.OkNg,High Current OK/NG,OKNG,D53,,,,,,
High.vacuum.OkNg,High Vacuum OK/NG,OKNG,D55,,,,,,
High.led1.OkNg,High LED1 OK/NG,OKNG,D56,,,,,,
Low.voltage.OkNg,Low Voltage OK/NG,OKNG,D61,,,,,,
Low.current.OkNg,Low Current OK/NG,OKNG,D63,,,,,,
Low.vacuum.OkNg,Low Vacuum OK/NG,OKNG,D65,,,,,,
Low.led2.OkNg,Low LED2 OK/NG,OKNG,D66,,,,,,
SIGNAL_LED1,,,D70.0,,,,,,
SIGNAL_LED2,,,D70.1,,,,,,
SIGNAL_PRODUCT_DETECT,,,D70.2,,,,,,
SIGNAL_SCAN_CONFIRM,,,D70.3,,,,,,
SIGNAL_CSV_WRITE,,,D70.4,,,,,,
SIGNAL_LED3,,,D70.5,,,,,,
SIGNAL_NG_DETECTED,,,D71,,,,,,
SIGNAL_MACHINE_WAITING,,,D72.0,,,,,,
CMD_START,,,D100,,,,,,
CMD_STOP,,,D101,,,,,,
CMD_RESET,,,D102,,,,,,
CMD_CONFIRM_NG,,,D105,,,,,,
CMD_MODE,,,D103,,,,,,
PARAM_EDIT_SCAN,,,D104.0,,,,,,
PARAM_REQUIRE_SCAN_ORDER,,,D104.1,,,,,,
PARAM_SCAN_CODE_READY,,,D104.2,,,,,,
PARAM_TEST_ORDER,,,D104.3,,,,,,
PARAM_SCAN_REV_MODE,,,D104.4,,,,,,
PARAM_CHECK_DUPLICATE_LOG,,,D104.5,,,,,,
PARAM_SCAN_DUP_ERROR,,,D104.6,,,,,,
PARAM_SCAN_CODE_LENGTH,,,D130,,,,,,
PARAM_HIGH_DURATION_MS,,,D131,1,Thời gian test High,High mode test duration,,,
PARAM_LOW_DURATION_MS,,,D132,1,Thời gian test Low,Low mode test duration,,,
PARAM_BUTTON_HOLD_MS,,,D133,1,Thời gian giữ nút,Button hold time,,,
High.voltage.LowerLimit,,,D134,,,,,,
High.voltage.UpperLimit,,,D135,,,,,,
High.current.LowerLimit,,,D136,,,,,,
High.current.UpperLimit,,,D137,,,,,,HD122
High.vacuum.LowerLimit,,,D138,,,,,,
High.vacuum.UpperLimit,,,D139,,,,,,
Low.voltage.LowerLimit,,,D140,,,,,,
Low.voltage.UpperLimit,,,D141,,,,,,HD130
Low.current.LowerLimit,,,D142,,,,,,HD120
Low.current.UpperLimit,,,D143,,,,,,
Low.vacuum.LowerLimit,,,D144,,,,,,
Low.vacuum.UpperLimit,,,D145,,,,,,HD128
PARAM_DELAY_TIMER_1,,,D150,1,Thời gian trễ 1,Delay timer 1,,,
PARAM_DELAY_TIMER_2,,,D151,1,Thời gian trễ 2,Delay timer 2,,,
PARAM_DELAY_TIMER_3,,,D152,1,Thời gian trễ 3,Delay timer 3,,,
PARAM_DELAY_TIMER_4,,,D153,1,Thời gian trễ 4,Delay timer 4,,,
PARAM_DELAY_TIMER_5,,,D154,1,Thời gian trễ 5,Delay timer 5,,,
PARAM_DELAY_TIMER_6,,,D155,1,Thời gian trễ 6,Delay timer 6,,,
PARAM_DELAY_TIMER_7,,,D156,1,Thời gian trễ 7,Delay timer 7,,,
PARAM_DELAY_TIMER_8,,,D157,1,Thời gian trễ 8,Delay timer 8,,,
PARAM_DELAY_TIMER_9,,,D158,1,Thời gian trễ 9,Delay timer 9,,,
PARAM_DELAY_TIMER_10,,,D159,1,Thời gian trễ 10,Delay timer 10,,,
